No.,Title,Air date,Rating/share(18–49),Viewers(millions),DVR(18–49),DVR viewers(millions),Total(18–49),Total viewers(millions),Ref.
1,"""Premiere""","September 16, 2025",1.0/17,5.28,0.1,1.14,1.2,6.42,
2,"""One-Hit Wonders Night""","September 23, 2025",1.0/15,5.46,0.2,1.07,1.2,6.53,
3,"""TikTok Night""","September 30, 2025",1.2/17,5.83,0.1,0.82,1.4,6.65,
4,"""Disney Night""","October 7, 2025",1.3/17,5.88,0.1,0.89,1.4,6.77,
5,"""Dedication Night""","October 14, 2025",1.3/18,5.98,0.1,0.87,1.4,6.85,
6,"""WickedNight""","October 21, 2025",1.4/18,6.63,0.2,0.87,1.5,7.50,
7,"""Halloween Night""","October 28, 2025",1.4/16,6.74,0.1,0.79,1.5,7.53,
8,"""Rock & Roll Hall of Fame Night""","November 4, 2025",1.2/16,6.30,0.1,0.72,1.3,7.02,
9,"""20th Birthday Party""","November 11, 2025",1.3/18,6.67,TBD,TBD,TBD,TBD,
10,"""Prince Night (Semi-Finals)""","November 18, 2025",1.5/20,7.22,TBD,TBD,TBD,TBD,
11,"""Finale""","November 25, 2025",2.1,9.43,TBD,TBD,TBD,TBD,
Special,"""Dancing with the Holidays""","December 2, 2025",0.7/10,5.19,TBD,TBD,TBD,TBD,
