season,week,celebrity,total_score,estimated_votes,vote_share,method,is_eliminated,optimization_success
1,1,John O'Hurley,20.0,184967.40890128378,0.18496740890128377,rank,False,
1,1,Kelly Monaco,13.0,112605.5095641752,0.1126055095641752,rank,False,
1,1,Evander Holyfield,18.0,166062.37635129248,0.16606237635129248,rank,False,
1,1,Rachel Hunter,20.0,182712.67483845403,0.18271267483845402,rank,False,
1,1,Joey McIntyre,20.0,187885.28676433355,0.18788528676433355,rank,False,
1,1,Trista Sutter,18.0,165766.74358046096,0.16576674358046095,rank,False,
1,2,John O'Hurley,26.0,350252.2324862009,0.3502522324862009,rank,False,True
1,2,Kelly Monaco,17.0,252059.59279061801,0.252059592790618,rank,False,True
1,2,Evander Holyfield,14.0,111744.1601055698,0.1117441601055698,rank,False,True
1,2,Rachel Hunter,24.0,92072.63694772823,0.09207263694772823,rank,False,True
1,2,Joey McIntyre,21.0,101798.74486316249,0.10179874486316248,rank,False,True
1,2,Trista Sutter,19.0,92072.63280672059,0.0920726328067206,rank,True,True
1,3,John O'Hurley,24.0,230379.4906615387,0.2303794906615387,rank,False,True
1,3,Kelly Monaco,21.0,192856.44187851594,0.19285644187851594,rank,False,True
1,3,Evander Holyfield,13.0,114999.58089815115,0.11499958089815115,rank,True,True
1,3,Rachel Hunter,26.0,243082.7127792846,0.2430827127792846,rank,False,True
1,3,Joey McIntyre,22.0,218681.77378250964,0.21868177378250964,rank,False,True
1,4,John O'Hurley,21.0,229296.6025949452,0.2292966025949452,rank,False,False
1,4,Kelly Monaco,26.0,278953.84103495104,0.278953841034951,rank,False,False
1,4,Rachel Hunter,25.0,261645.980315166,0.261645980315166,rank,True,False
1,4,Joey McIntyre,20.0,230103.5760549379,0.2301035760549379,rank,False,False
1,5,John O'Hurley,27.0,373904.9892779962,0.3739049892779962,rank,False,
1,5,Kelly Monaco,23.5,317478.3944696229,0.3174783944696229,rank,False,
1,5,Joey McIntyre,22.5,308616.61625238083,0.30861661625238085,rank,False,
1,6,John O'Hurley,27.0,496086.46239689004,0.49608646239689,rank,False,
1,6,Kelly Monaco,27.5,503913.53760310996,0.50391353760311,rank,False,
2,1,Tatum O'Neal,23.0,112678.05491139105,0.11267805491139105,rank,False,False
2,1,Tia Carrere,20.0,103130.83150250313,0.10313083150250313,rank,False,False
2,1,George Hamilton,18.0,95856.20560092958,0.09585620560092958,rank,False,False
2,1,Lisa Rinna,19.0,100089.56830177801,0.10008956830177801,rank,False,False
2,1,Stacy Keibler,22.0,114464.76824973235,0.11446476824973235,rank,False,False
2,1,Jerry Rice,21.0,110725.80428937235,0.11072580428937234,rank,False,False
2,1,Giselle Fernandez,23.0,115736.0669635489,0.1157360669635489,rank,False,False
2,1,Master P,12.0,64351.07175233622,0.06435107175233622,rank,False,False
2,1,Drew Lachey,24.0,123861.9096709143,0.1238619096709143,rank,False,False
2,1,Kenny Mayne,13.0,59105.718757494156,0.05910571875749416,rank,True,False
2,2,Tatum O'Neal,17.0,80287.96579468224,0.08028796579468224,rank,True,False
2,2,Tia Carrere,22.0,109363.20577899223,0.10936320577899222,rank,False,False
2,2,George Hamilton,22.0,112943.29074374068,0.11294329074374068,rank,False,False
2,2,Lisa Rinna,20.0,101567.61128243204,0.10156761128243204,rank,False,False
2,2,Stacy Keibler,29.0,145457.85475615785,0.14545785475615786,rank,False,False
2,2,Jerry Rice,23.0,116908.8565133538,0.11690885651335381,rank,False,False
2,2,Giselle Fernandez,24.0,116423.90266326722,0.11642390266326721,rank,False,False
2,2,Master P,16.0,82715.05232274263,0.08271505232274264,rank,False,False
2,2,Drew Lachey,27.0,134332.2601446314,0.1343322601446314,rank,False,False
2,3,Tia Carrere,26.0,128933.09257906071,0.12893309257906072,rank,False,True
2,3,George Hamilton,22.0,105577.18276096584,0.10557718276096584,rank,False,True
2,3,Lisa Rinna,25.0,123492.0431786279,0.1234920431786279,rank,False,True
2,3,Stacy Keibler,27.0,137753.2246246712,0.13775322462467118,rank,False,True
2,3,Jerry Rice,19.0,162332.9698925823,0.1623329698925823,rank,False,True
2,3,Giselle Fernandez,22.0,74098.29399647676,0.07409829399647676,rank,True,True
2,3,Master P,14.0,123492.04397996141,0.12349204397996141,rank,False,True
2,3,Drew Lachey,27.0,144321.1489876539,0.14432114898765389,rank,False,True
